id,question,unit,topic,difficulty,type,keywords,answer,marks
1,What is the capital of France?,Unit 1,geography,easy,text,"geography,capitals,france",Paris,2
2,Calculate 15 * 23,Unit 1,mathematics,easy,numeric,"math,multiplication,arithmetic",345,2
3,What is the chemical symbol for gold?,Unit 2,chemistry,medium,text,"chemistry,elements,symbols",Au,2
4,Write a Python function to find the maximum of two numbers,Unit 3,programming,medium,code,"python,programming,functions","def max_two(a, b): return a if a > b else b",16
5,Explain the causes of World War I in detail,Unit 4,history,medium,essay,"history,world war,causes","Multiple factors including nationalism, imperialism, alliance system, and the assassination of Archduke Franz Ferdinand. The complex web of alliances created tensions that eventually led to global conflict.",16
6,What is 2 + 2?,Unit 1,mathematics,easy,numeric,"math,addition,basic",4,2
7,Name the three states of matter,Unit 2,science,easy,text,"science,physics,states of matter","solid, liquid, gas",2
8,What is the largest planet in our solar system?,Unit 2,astronomy,easy,text,"astronomy,planets,solar system",Jupiter,2
9,Define photosynthesis and explain its process,Unit 2,biology,medium,essay,"biology,plants,photosynthesis","The process by which plants convert light energy into chemical energy using chlorophyll. It involves the conversion of carbon dioxide and water into glucose and oxygen in the presence of sunlight.",16
10,What is the speed of light?,Unit 2,physics,medium,numeric,"physics,light,constants","299,792,458 m/s",2
11,Who wrote Romeo and Juliet?,Unit 4,literature,easy,text,"literature,shakespeare,plays",William Shakespeare,2
12,What is the square root of 144?,Unit 1,mathematics,easy,numeric,"math,square root,arithmetic",12,2
13,Explain object-oriented programming concepts with examples,Unit 3,programming,hard,essay,"programming,oop,concepts","Object-oriented programming is a paradigm based on objects and classes. Key concepts include encapsulation, inheritance, polymorphism, and abstraction. For example, a Car class can have properties like color and methods like start().",16
14,What is democracy and its key features?,Unit 4,politics,medium,essay,"politics,government,democracy","Democracy is a system of government where power is held by the people, either directly or through elected representatives. Key features include free elections, rule of law, protection of rights, and majority rule with minority protection.",16
15,How many continents are there?,Unit 4,geography,easy,numeric,"geography,continents,world",7,2
16,What is HTML and its purpose?,Unit 3,programming,easy,text,"programming,web development,html",HyperText Markup Language - used for creating web pages,2
17,What is the boiling point of water?,Unit 2,chemistry,easy,numeric,"chemistry,water,temperature",100°C or 212°F,2
18,Who painted the Mona Lisa?,Unit 4,art,medium,text,"art,painting,leonardo da vinci",Leonardo da Vinci,2
19,Derive and explain the quadratic formula,Unit 1,mathematics,hard,essay,"mathematics,algebra,quadratic","The quadratic formula x = (-b ± √(b² - 4ac)) / 2a is derived from the general quadratic equation ax² + bx + c = 0 by completing the square method.",16
20,Explain the four fundamental forces in physics,Unit 2,physics,hard,essay,"physics,forces,fundamental","The four fundamental forces are: 1) Gravitational force - attraction between masses, 2) Electromagnetic force - electric and magnetic interactions, 3) Strong nuclear force - holds atomic nuclei together, 4) Weak nuclear force - responsible for radioactive decay.",16
21,What is the largest mammal?,Unit 2,biology,easy,text,"biology,mammals,animals",Blue whale,2
22,What year did World War II end?,Unit 4,history,medium,numeric,"history,world war,dates",1945,2
23,What is CSS used for?,Unit 3,programming,easy,text,"programming,web development,css",Cascading Style Sheets - used for styling web pages,2
24,What is the formula for water?,Unit 2,chemistry,easy,text,"chemistry,formulas,water",H2O,2
25,Analyze the themes in Shakespeare's Hamlet,Unit 4,literature,hard,essay,"literature,shakespeare,plays","Hamlet explores themes of revenge, madness, mortality, and moral corruption. The play examines the conflict between thought and action, appearance vs reality, and the inevitability of death.",16
26,What is the smallest prime number?,Unit 1,mathematics,medium,numeric,"mathematics,prime numbers,number theory",2,2
